baanid;baannaam;bochtid;bochtnummer;graden;radius m
1;zandvoort;1;1;160;50
1;zandvoort;2;2;30;50
1;zandvoort;3;3;158;50
1;zandvoort;4;4;15;120
1;zandvoort;5;5;20;110
1;zandvoort;6;6;17;130
1;zandvoort;7;7;117;225
1;zandvoort;8;8;102;100
1;zandvoort;9;9;90;70
1;zandvoort;10;10;97;75
1;zandvoort;11;11;92;72
1;zandvoort;12;12;178;50
1;zandvoort;13;13;86;69
1;zandvoort;14;14;115;120
2;spa;15;1;160;35
2;spa;16;2;110;70
2;spa;17;3;25;50
2;spa;18;4;150;50
2;spa;19;5;20;50
2;spa;20;6;90;200
2;spa;21;7;153;40
2;spa;22;8;130;50
2;spa;23;9;100;55
2;spa;24;10;160;50
2;spa;25;11;90;60
2;spa;26;12;140;65
2;spa;27;13;92;52
2;spa;28;14;88;55
2;spa;29;15;95;50
2;spa;30;16;80;135
2;spa;31;17;15;120
2;spa;32;18;20;110
2;spa;33;19;157;35
2;spa;34;20;157;30
3;vie;35;1;100;60